군집,군집_유형,상권_코드,상권명,월_평균_소득,지출_총금액,당월_매출,당월_매출_건수,버스정류장수,평균버스승하차,지하철역수,평균지하철승하차
5,고소득·중지출·저매출·중간접근성 상권,3120050,서울숲역,2954167.0,599737987.0,977266567.0,21070.0,66.01236174365647,10523.362042387773,1.7351984385165908,55690.384290938455
5,고소득·중지출·저매출·중간접근성 상권,3110126,서울숲역 1번,2683911.0,397341358.0,119802813.0,4179.0,62.40870062965083,9209.894662047218,1.4802518603319976,52466.28965993526
5,고소득·중지출·저매출·중간접근성 상권,3110127,성수1가1동주민센터,3016480.0,153848864.0,246140346.0,5119.0,86.23410696266397,12143.42253626754,1.8940464177598384,62794.43839382024
5,고소득·중지출·저매출·중간접근성 상권,3130071,성수역 골목형상점가,2078971.0,41041904.0,93000000.0,6024.0,71.06801007556675,8890.621105735358,0.9580184718723762,45779.73247825444
5,고소득·중지출·저매출·중간접근성 상권,3130063,신금호역 골목형상점가,2462539.0,177964764.0,164081798.0,15365.0,71.27848101265823,16342.478029242817,2.392405063291139,32727.26189701004
5,고소득·중지출·저매출·중간접근성 상권,3110099,유엔빌리지길,5729183.0,1353322823.0,260575610.0,1152.0,68.66666666666667,14474.60837679573,2.0,16643.655172413793
6,중소득·초고지출·중매출·중간접근성 상권,3110147,능동우편취급국,2463450.0,3195168079.0,125756683.0,2378.0,54.94805194805195,28484.25195432924,0.6233766233766234,21293.64263322884
6,중소득·초고지출·중매출·중간접근성 상권,3110125,사근동살곶이상점가,2481227.0,2207499924.0,880675840.0,53923.0,44.79904306220096,8770.119322039627,0.5167464114832536,2998.443425177363
6,중소득·초고지출·중매출·중간접근성 상권,3110134,성수119안전센터,2610406.0,2936426722.0,301129253.0,3152.0,75.66592285623207,7817.009519438063,0.0420784188715333,3413.9672210436065
6,중소득·초고지출·중매출·중간접근성 상권,3110128,성원중학교,2435523.0,4070992102.0,175614240.0,5426.0,59.42857142857143,7523.177449219104,0.4755830903790087,10848.329081632652
6,중소득·초고지출·중매출·중간접근성 상권,3110104,신금호역 4번,2666215.0,1928005256.0,427215728.0,10302.0,52.38299232736573,11210.606513344645,1.0,11880.965517241382
6,중소득·초고지출·중매출·중간접근성 상권,3110142,화양사거리,2456645.0,2113204735.0,1883248410.0,48972.0,45.99545454545454,14162.69913742573,0.0,0.0
7,중소득·고지출·중매출·중간접근성 상권,3110136,경수초등학교,2669023.0,1330547106.0,85234698.0,7533.0,46.844459738472125,6427.074981868905,1.0,81133.44827586207
7,중소득·고지출·중매출·중간접근성 상권,3110131,성수동카페거리,2619989.0,1602323628.0,3532343.0,126.0,67.73070866141732,7397.339632562771,1.4732283464566929,97030.0390988036
7,중소득·고지출·중매출·중간접근성 상권,3120052,성수역,2497599.0,1171025573.0,1648324822.0,12454.0,55.15661375661376,7691.948282143924,1.2126984126984126,89721.09359605912
8,고소득·고지출·초고매출·낮은접근성 상권,3130072,성동용답상가시장,2367606.0,1921353897.0,2970369838.0,307219.0,33.91895512391159,17376.722827473466,1.950770261219022,32327.93156569739
8,고소득·고지출·초고매출·낮은접근성 상권,3110137,성수초등학교,3333473.0,1510657423.0,3949168130.0,160274.0,33.40275049115913,8892.485996248377,0.4793713163064833,38893.04789648398
